account_id,client_id,account_type,balance,creation_date,currency
K649533,103,savings,38533.65,2011-09-13,CHF
K570227,103,savings,90887.97,1985-08-26,CHF
N741298,103,brokerage,34242.21,1978-03-08,CHF
O712761,104,checking,22937.69,2008-09-08,CHF
J110030,104,savings,46913.04,2017-08-08,CHF
Y882423,104,brokerage,80200.87,1998-08-11,CHF
B504016,105,checking,94810.86,2004-12-14,CHF
I127534,105,brokerage,68541.79,1997-09-27,CHF
D982663,105,checking,42105.71,1996-01-30,CHF
K758884,106,checking,80084.01,2010-01-16,CHF
W705833,106,checking,88191.12,2011-06-01,CHF
K194962,107,checking,31376.99,1998-09-20,CHF
U493325,108,brokerage,92543.39,1995-01-17,CHF
Z199023,108,checking,42552.06,2004-09-07,CHF
C473587,109,checking,18254.29,2013-12-09,CHF
S105132,109,savings,92379.96,2021-11-01,CHF
A231481,109,savings,32446.56,2012-06-08,CHF
C593966,110,checking,48299.56,2013-12-28,CHF
V539356,110,brokerage,85774.27,2014-05-15,CHF
N292707,110,checking,18936.7,2019-08-07,CHF
E294635,111,checking,7442.53,2018-03-02,CHF
P927522,111,savings,45612.12,2010-02-23,CHF
C772868,112,brokerage,94415.61,2023-12-26,CHF
X365741,113,savings,65903.51,2015-12-25,CHF
L308237,113,checking,81878.07,2016-02-04,CHF
C100503,113,savings,40778.05,2022-09-11,CHF
Y369796,114,checking,25223.26,2016-06-21,CHF
Z393761,114,savings,40554.35,1999-07-08,CHF
S123796,114,checking,84340.05,2009-04-26,CHF
Y925550,115,savings,7680.17,2023-11-09,CHF
M499512,116,checking,72189.81,2020-07-30,CHF
M680136,116,brokerage,83537.99,2021-05-05,CHF
N788225,117,brokerage,26259.81,2021-04-20,CHF
J600426,117,brokerage,64611.91,2016-09-11,CHF
Q663891,118,brokerage,12748.81,2011-06-12,CHF
U159481,119,brokerage,47300.35,2022-07-20,CHF
O626156,120,checking,74159.48,2015-10-09,CHF
E394365,120,checking,71624.94,1986-12-25,CHF
L728960,120,checking,6286.12,2000-04-26,CHF
T919407,121,brokerage,23593.3,2019-12-19,CHF
Q867677,122,brokerage,17950.55,2019-06-11,CHF
K424281,122,checking,91953.22,1999-08-28,CHF
N611205,122,savings,62132.17,2006-11-29,CHF
U133113,123,brokerage,53570.92,1985-03-22,CHF
J667326,124,savings,3722.33,1992-04-10,CHF
X162485,125,checking,54296.55,1996-05-18,CHF
V617108,125,brokerage,39749.48,2007-05-07,CHF
K702747,126,brokerage,67460.65,2008-05-05,CHF
E792171,126,brokerage,53510.79,1994-09-21,CHF
G879778,126,savings,24112.39,2001-07-07,CHF
J504288,127,brokerage,72527.68,2006-10-01,CHF
S392127,127,checking,27302.45,1982-12-22,CHF
V283908,127,checking,87722.68,1981-07-09,CHF
Z683436,128,checking,66349.13,2021-03-25,CHF
R802233,128,brokerage,13733.72,2020-05-31,CHF
U605715,128,savings,95703.88,2022-08-26,CHF
T452957,129,checking,64029.62,2000-10-11,CHF
M655566,129,checking,52200.66,2000-10-05,CHF
A976557,130,checking,12345.44,1999-05-10,CHF
K851513,130,checking,27528.14,1988-04-12,CHF
X507695,130,checking,57560.01,2022-05-01,CHF
M611150,131,savings,77329.77,2019-05-17,CHF
I450889,131,checking,14171.93,2018-10-18,CHF
P302772,132,brokerage,15488.04,2016-08-19,CHF
C387051,132,brokerage,47854.59,2017-02-19,CHF
Q305605,132,savings,26301.67,2019-03-29,CHF
H523845,133,checking,81789.09,1997-08-09,CHF
I993068,133,savings,66769.97,2018-09-11,CHF
T447180,133,checking,40412.37,2001-01-08,CHF
Q490654,134,checking,18961.35,1999-12-24,CHF
B377704,134,brokerage,32811.73,2019-06-24,CHF
I234591,134,checking,53327.68,2012-07-19,CHF
U666796,135,brokerage,96428.35,2024-03-10,CHF
D192687,135,brokerage,44138.46,2017-08-24,CHF
J724252,135,checking,13635.88,2019-06-08,CHF
I365169,136,checking,26818.69,2011-07-08,CHF
I964224,136,brokerage,68257.43,2022-07-13,CHF
J695504,136,savings,88828.79,2018-10-07,CHF
M467398,137,checking,24856.21,1982-10-18,CHF
J540731,138,savings,54979.21,1991-01-13,CHF
Y146856,138,checking,20357.7,2009-09-13,CHF
Q956980,139,savings,77279.88,1969-08-29,CHF
O927124,139,checking,76797.62,1988-05-16,CHF
M705869,139,checking,14881.59,2000-10-03,CHF
U332542,140,checking,14330.04,1990-10-11,CHF
F272433,140,savings,85482.05,1997-06-27,CHF
K211062,141,brokerage,19194.5,2023-07-07,CHF
H388633,142,brokerage,27445.89,1999-04-06,CHF
J264449,142,brokerage,42035.61,1971-07-28,CHF
G743150,143,savings,33806.67,2008-07-12,CHF
P428220,143,brokerage,73093.82,1998-07-26,CHF
L626410,144,savings,46499.07,2020-10-29,CHF
B246936,144,checking,14368.7,2013-09-15,CHF
K243541,145,brokerage,87801.43,1992-08-15,CHF
C574076,145,brokerage,83150.25,1997-09-07,CHF
R519516,145,brokerage,50394.48,2007-03-28,CHF
Y299282,146,savings,14534.77,2000-01-30,CHF
B603385,147,checking,47649.53,2013-09-05,CHF
Z541478,147,brokerage,63344.78,2015-01-09,CHF
O781016,148,brokerage,75126.13,2017-03-25,CHF
C676658,148,brokerage,78029.07,2023-04-26,CHF
Z771752,148,savings,64665.92,2023-09-25,CHF
Z628532,149,brokerage,84187.07,2012-10-18,CHF
K380514,150,checking,43935.86,1986-10-05,CHF
F495250,150,savings,21655.88,2001-06-17,CHF
E282885,150,brokerage,22785.16,2015-06-20,CHF
A698835,151,brokerage,72710.44,2010-11-26,CHF
R979319,151,savings,7817.37,1988-06-10,CHF
R636140,152,brokerage,6935.05,2010-04-15,CHF
Y865309,153,savings,19816.43,2019-10-17,CHF
J921841,154,savings,19160.79,1977-02-14,CHF
L356652,155,brokerage,77485.03,2017-03-17,CHF
P156440,155,brokerage,94096.66,1984-05-11,CHF
V175158,155,brokerage,64494.3,1976-01-25,CHF
X944072,156,brokerage,15069.32,2024-02-20,CHF
D135364,156,checking,86191.59,2020-07-31,CHF
Q993089,157,brokerage,35902.21,2008-08-29,CHF
R638339,158,brokerage,86523.45,2021-08-01,CHF
Q972367,158,brokerage,71699.29,2006-05-20,CHF
J726978,159,savings,29619.24,2024-10-04,CHF
X869090,159,brokerage,48367.42,2024-07-17,CHF
Y410795,160,brokerage,33341.67,2007-11-06,CHF
M657241,160,brokerage,45780.12,2015-05-06,CHF
R379981,160,brokerage,63377.63,2019-01-03,CHF
K463075,161,savings,87355.47,2020-01-18,CHF
K250600,161,brokerage,52026.32,1974-02-28,CHF
Q871852,162,brokerage,27011.51,2020-10-24,CHF
X329458,162,brokerage,56236.52,2000-05-12,CHF
G566097,162,savings,53326.87,2016-10-16,CHF
B683671,163,checking,39569.6,2012-07-09,CHF
E237578,163,checking,38612.77,2009-06-18,CHF
M201809,163,checking,1729.31,1980-02-24,CHF
B703649,164,savings,11195.64,2022-08-30,CHF
L154268,164,checking,59457.65,2022-08-31,CHF
G248714,165,checking,27147.12,2015-10-20,CHF
D263899,165,checking,3751.27,2015-09-21,CHF
N460461,166,brokerage,75016.6,2014-11-20,CHF
T794924,166,brokerage,78094.62,2013-10-03,CHF
E534618,166,savings,13508.78,2005-10-11,CHF
A205803,167,savings,42821.67,2024-11-07,CHF
O464847,168,checking,93498.76,2004-03-26,CHF
D274329,168,brokerage,12575.38,2004-10-25,CHF
K943510,168,checking,47013.85,2010-02-05,CHF
R757196,169,checking,11471.8,2014-12-28,CHF
G199854,169,checking,68383.12,2014-12-17,CHF
H963767,170,savings,64835.72,2008-02-15,CHF
X432089,170,brokerage,53380.2,2002-08-19,CHF
M222679,171,brokerage,80167.74,2023-11-03,CHF
H340288,171,savings,32055.79,2020-01-20,CHF
T530532,171,checking,54255.93,2023-01-08,CHF
F703200,172,brokerage,58347.27,2024-03-14,CHF
H805714,173,brokerage,2689.35,2015-12-20,CHF
G733439,173,savings,96320.91,2023-06-21,CHF
C572118,173,checking,44283.68,2014-05-03,CHF
H489952,174,brokerage,94617.75,2006-04-12,CHF
X338823,174,brokerage,29516.82,2020-01-22,CHF
X165320,174,savings,6849.48,2022-04-29,CHF
F432464,175,checking,6115.21,2023-10-26,CHF
J899201,176,checking,64449.47,2020-04-02,CHF
P875735,176,brokerage,47181.07,2016-02-27,CHF
N244396,177,savings,42409.08,2013-01-29,CHF
Z727782,177,checking,18133.46,2011-08-30,CHF
L631161,178,checking,44077.55,2020-05-18,CHF
R666973,179,checking,35686.87,2016-10-14,CHF
B325540,179,savings,92866.39,1979-06-27,CHF
X233467,180,checking,29056.57,2002-08-27,CHF
E584445,180,checking,17268.49,2023-08-01,CHF
U661806,180,savings,75919.08,2012-05-28,CHF
K202249,181,checking,79047.77,2010-10-01,CHF
G954127,182,brokerage,9995.31,2009-04-13,CHF
R556588,182,brokerage,81759.24,1987-03-24,CHF
Y366947,182,brokerage,37368.29,1991-02-25,CHF
B456141,183,checking,50146.61,2007-09-10,CHF
R696328,184,checking,32984.3,2013-05-28,CHF
K543592,184,checking,75850.38,2012-12-28,CHF
Q170485,184,checking,33520.98,2010-12-03,CHF
G663205,185,savings,94949.85,2002-07-02,CHF
O793734,186,checking,88461.09,2023-03-27,CHF
Q506177,187,brokerage,40647.93,1996-08-20,CHF
K921956,188,savings,74287.66,2005-08-12,CHF
D666756,189,brokerage,44874.77,1978-06-25,CHF
G871114,189,savings,60133.84,1991-10-01,CHF
E838889,189,brokerage,79656.45,2006-07-06,CHF
A368338,190,checking,20848.19,2023-08-17,CHF
Z326623,190,checking,81633.13,2024-05-02,CHF
U800542,191,savings,19407.19,2007-07-20,CHF
Y697462,191,checking,19755.5,2003-06-01,CHF
C285517,192,savings,76825.16,2024-02-29,CHF
Z652898,192,brokerage,88562.86,2024-09-15,CHF
C766921,193,checking,50652.04,2020-10-29,CHF
A548616,193,checking,36552.64,1994-11-21,CHF
U311635,194,savings,64668.87,2010-03-05,CHF
S441785,194,savings,66529.18,2013-11-26,CHF
H971226,194,brokerage,29006.85,2008-10-30,CHF
B610065,195,savings,22054.5,2022-09-24,CHF
M993908,195,savings,32643.44,2020-11-19,CHF
H320876,195,savings,38630.85,2021-02-18,CHF
U762015,196,checking,74103.26,2020-01-02,CHF
D673956,196,checking,19653.09,2023-12-06,CHF
N346297,197,savings,2422.71,2023-08-26,CHF
N307864,198,savings,20071.2,2002-06-06,CHF
X156953,198,brokerage,45747.52,1996-05-20,CHF
U376306,199,savings,58805.09,1976-02-07,CHF
Q635641,199,savings,46109.94,2019-09-02,CHF
Q158609,200,brokerage,11843.14,2013-10-15,CHF
Q294536,200,brokerage,93396.11,2013-12-22,CHF
F859336,200,checking,10371.72,2017-05-13,CHF
D529845,201,checking,85721.25,2016-08-09,CHF
A658060,201,brokerage,69422.37,2019-04-20,CHF
H490361,201,savings,8622.77,2022-01-21,CHF
T662318,202,savings,93132.21,2014-11-14,CHF
W556625,202,savings,57662.83,2006-05-20,CHF
F770818,203,savings,13411.99,1997-08-21,CHF
M252782,203,checking,19075.07,1980-08-23,CHF
U989562,204,savings,69710.8,1983-05-20,CHF
Z124571,205,savings,16796.64,2023-03-13,CHF
T545973,206,checking,91295.57,2018-11-14,CHF
W500349,206,checking,16717.65,1994-08-08,CHF
E951834,207,brokerage,63808.83,1994-02-23,CHF
I988289,208,checking,54038.85,2011-08-08,CHF
J431945,209,checking,98084.74,2005-12-04,CHF
V231935,209,brokerage,40323.73,2017-08-06,CHF
H136376,210,checking,53943.06,2020-01-09,CHF
T421984,210,savings,97252.09,2016-12-09,CHF
Y699766,211,brokerage,75084.7,1988-09-03,CHF
D797635,211,brokerage,28743.04,1990-05-07,CHF
M788919,212,brokerage,89665.19,2023-03-23,CHF
K691860,213,brokerage,94044.76,2024-10-02,CHF
Z309733,213,brokerage,24403.74,2024-02-03,CHF
L916867,213,brokerage,21640.77,2024-03-01,CHF
E147191,214,brokerage,74645.63,2003-02-15,CHF
Q265249,214,checking,44837.18,2002-01-13,CHF
U729251,215,brokerage,87462.65,1991-03-09,CHF
P203352,215,savings,59808.27,2020-03-24,CHF
W911709,216,savings,80606.55,1970-05-04,CHF
X702362,217,savings,7245.35,2014-08-04,CHF
A988340,217,checking,97681.29,2021-07-16,CHF
V288612,217,brokerage,60073.71,1999-06-26,CHF
N670047,218,brokerage,51313.93,2008-09-01,CHF
I209732,219,brokerage,69596.12,2024-04-06,CHF
A123119,219,brokerage,46717.21,2020-11-20,CHF
U986178,220,savings,12666.55,1984-05-25,CHF
F781076,220,checking,67127.86,2012-02-03,CHF
P906139,220,savings,81938.66,2014-04-26,CHF
N453103,221,checking,87112.94,2018-01-29,CHF
D453162,222,savings,80491.98,2016-04-02,CHF
S601253,222,brokerage,27083.55,2024-10-10,CHF
D423503,222,checking,75103.69,2012-11-15,CHF
P534711,223,brokerage,52784.7,2021-11-10,CHF
A229824,223,savings,64535.77,2024-10-02,CHF
Y103820,223,savings,1015.62,2012-01-09,CHF
U132383,224,checking,58909.55,2004-03-30,CHF
H340214,225,checking,1422.85,2000-09-16,CHF
A843657,225,brokerage,78737.5,2002-03-04,CHF
J229588,225,brokerage,40451.79,2004-05-11,CHF
J416965,226,savings,39086.99,2009-05-18,CHF
L476763,226,savings,84714.36,2024-01-15,CHF
Q887303,227,savings,47200.72,1990-12-18,CHF
C324317,227,checking,77342.22,2020-03-26,CHF
C656200,227,savings,73775.18,1979-11-27,CHF
O436613,228,savings,28102.64,2014-07-15,CHF
L529022,229,savings,90117.18,2022-01-26,CHF
I271310,229,checking,96921.76,1990-11-13,CHF
T717585,229,savings,66834.96,1986-06-20,CHF
I110806,230,checking,30121.15,2020-10-19,CHF
Q963222,230,checking,86827.96,2018-04-30,CHF
O760077,231,savings,41604.86,2024-10-02,CHF
B672111,232,checking,7832.15,1997-10-27,CHF
G898643,233,checking,46177.92,2022-04-18,CHF
L152908,233,checking,30180.77,2022-08-20,CHF
T591708,233,checking,17337.58,2021-10-24,CHF
B814622,234,savings,97368.13,2013-10-30,CHF
M843017,234,checking,24092.43,1994-01-16,CHF
W245146,234,checking,93137.69,2013-02-02,CHF
B581044,235,brokerage,42698.92,2018-07-06,CHF
N550419,235,savings,31414.85,2010-07-24,CHF
O908064,235,checking,77981.91,2007-05-16,CHF
X395070,236,brokerage,18223.41,2019-07-25,CHF
M502210,236,brokerage,30093.93,2019-06-18,CHF
N924765,237,savings,60304.9,2015-07-02,CHF
W349272,237,savings,94374.64,2022-06-17,CHF
W537113,237,checking,80133.32,2009-11-01,CHF
O618497,238,brokerage,53570.12,2012-12-09,CHF
O966939,239,savings,45330.77,1996-06-02,CHF
B486971,239,checking,18554.26,2018-08-08,CHF
M652809,240,checking,30724.66,2021-07-12,CHF
Y112197,240,brokerage,68174.09,2011-07-23,CHF
G831624,240,savings,84992.14,2012-02-11,CHF
C649888,241,brokerage,34126.89,2009-11-03,CHF
K285962,242,brokerage,92117.77,2002-10-23,CHF
F668691,243,checking,54664.84,2015-02-02,CHF
B920904,243,savings,55610.3,2019-06-29,CHF
H528426,244,savings,92197.68,2020-05-03,CHF
W548726,244,savings,69514.59,2018-08-14,CHF
B594873,245,brokerage,35348.52,2012-01-22,CHF
I895963,245,savings,42778.6,2009-12-30,CHF
A974685,246,checking,86173.43,1984-02-27,CHF
P951520,247,savings,8077.79,2021-11-02,CHF
M320326,247,savings,48250.54,2023-07-21,CHF
K431184,247,checking,15918.18,2022-12-25,CHF
T855194,248,brokerage,54955.15,2011-02-16,CHF
O489824,249,checking,45286.49,2020-11-22,CHF
B770494,249,brokerage,80526.16,2006-05-01,CHF
H772206,250,savings,90044.08,1975-07-04,CHF
B791718,250,checking,58433.29,2012-10-03,CHF
U190030,250,checking,14409.35,2021-09-12,CHF
M354425,251,savings,63340.88,2018-10-06,CHF
F116745,251,checking,15478.36,1982-01-15,CHF
U651900,251,checking,39905.97,1995-03-20,CHF
F195158,252,savings,24202.0,2004-08-18,CHF
V586460,252,brokerage,17289.28,2016-12-25,CHF
W610863,252,brokerage,35851.32,1997-04-01,CHF
E575977,253,brokerage,70459.09,2019-12-11,CHF
O447733,253,brokerage,18595.52,2010-04-17,CHF
H817430,254,brokerage,89038.9,1962-10-05,CHF
Z652554,254,brokerage,37918.5,2004-03-09,CHF
G181472,254,brokerage,92258.08,2002-07-24,CHF
U579362,255,savings,86803.53,2022-11-27,CHF
J251377,255,brokerage,12284.2,2015-03-21,CHF
U462068,255,savings,72243.6,2018-09-19,CHF
W545282,256,checking,43062.29,2021-07-12,CHF
H391942,256,savings,48150.24,2016-10-31,CHF
F331046,257,savings,52117.99,2020-03-10,CHF
X305642,257,savings,16195.03,2020-01-08,CHF
N849070,257,savings,11440.88,2020-05-21,CHF
D430290,258,checking,65355.98,2016-08-18,CHF
O642712,258,checking,13582.31,2023-04-27,CHF
W807603,259,savings,24052.19,2009-09-06,CHF
H708076,259,savings,97863.09,2014-05-10,CHF
E760161,260,brokerage,53458.95,2015-07-30,CHF
O359676,260,brokerage,37585.11,2014-10-01,CHF
G609663,261,checking,67630.45,2022-11-21,CHF
O891787,261,brokerage,38748.05,2022-07-28,CHF
P958002,261,savings,10018.46,2024-10-29,CHF
L182244,262,checking,89534.85,2011-12-14,CHF
T786879,262,savings,56092.7,2013-03-28,CHF
K371594,263,brokerage,49604.7,2016-11-06,CHF
P348228,263,checking,44047.14,2014-10-23,CHF
G840025,263,savings,20255.2,2014-12-02,CHF
T574766,264,savings,44039.39,1990-01-03,CHF
J754254,264,checking,77481.87,1998-04-11,CHF
U669443,265,savings,98144.87,1967-12-24,CHF
X811863,265,checking,94705.82,1985-08-28,CHF
